iter	RMSE
0	12248.42508
1	11875.54587
2	11463.74801
3	11057.48618
4	10692.68349
5	10322.23753
6	10012.26429
7	9676.737689
8	9361.176092
9	9041.84166
10	8756.263519
11	8452.949574
12	8171.499616
13	7892.536608
14	7614.907334
15	7362.571942
16	7110.785283
17	6869.707217
18	6627.407479
19	6411.969953
20	6210.318065
21	6010.495018
22	5805.864213
23	5610.209867
24	5423.674801
25	5242.566616
26	5066.781132
27	4897.326194
28	4740.332703
29	4584.707891
30	4435.99237
31	4288.66557
32	4160.362146
33	4025.783842
34	3893.63957
35	3771.876514
36	3645.737426
37	3531.146825
38	3416.3479
39	3308.533986
40	3207.327914
41	3105.612608
42	3014.156145
43	2920.118083
44	2838.188739
45	2750.796553
46	2671.348224
47	2594.854049
48	2515.879654
49	2445.765198
50	2378.297493
51	2309.09152
52	2244.725434
53	2180.172859
54	2119.73252
55	2062.991089
56	2012.348184
57	1957.279808
58	1903.177161
59	1853.172118
60	1805.311157
61	1757.909464
62	1715.643285
63	1670.838834
64	1634.822978
65	1593.206506
66	1557.709188
67	1524.105896
68	1487.281389
69	1456.168991
70	1424.318675
71	1392.816702
72	1363.249474
73	1333.093734
74	1306.769097
75	1278.977355
76	1253.814134
77	1227.947093
78	1204.711424
79	1181.205613
80	1157.688494
81	1137.537815
82	1116.516837
83	1096.443689
84	1078.192497
85	1058.913729
86	1040.872503
87	1025.271679
88	1010.367438
89	993.5388834
90	978.7436476
91	964.2279109
92	950.9695978
93	939.7938697
94	927.3365375
95	914.245888
96	903.1246215
97	891.4844202
98	881.1838711
99	871.8766234
100	861.5799549
101	851.6701187
102	842.5349685
103	833.0192246
104	823.9797661
105	815.3305683
106	806.3909835
107	796.9283111
108	790.6894006
109	783.548215
110	776.0721339
111	768.6277068
112	760.6844473
113	754.0743794
114	748.1258881
115	743.5885135
116	737.5508405
117	730.4820197
118	725.5333828
119	719.4581047
120	713.9633493
121	709.5805624
122	704.2155564
123	699.3998348
124	693.9072301
125	688.7105915
126	683.2478789
127	680.0832778
128	674.6523243
129	669.8651977
130	665.6138705
131	661.0526038
132	656.4170624
133	651.8693184
134	648.1966856
135	646.1254028
136	641.8925646
137	637.69616
138	633.886643
139	630.8542708
140	627.6442683
141	624.3977213
142	621.3119404
143	618.1724194
144	615.6580893
145	613.1137731
146	610.7693981
147	607.7373422
148	605.1581579
149	602.5156302
150	600.266257
151	597.8904814
152	595.233495
153	592.3881971
154	589.4587671
155	587.7112312
156	585.3970849
157	582.5030017
158	580.6341771
159	578.3582858
160	575.9425193
161	573.0658315
162	571.1514008
163	569.2932239
164	567.4929735
165	565.3608162
166	563.5056009
167	561.4667121
168	559.4898375
169	557.2155719
170	555.6692086
171	553.7043648
172	551.9628642
173	550.0791304
174	548.332637
175	546.9913143
176	545.4496156
177	543.6937281
178	541.9467721
179	540.2550773
180	538.6822516
181	537.154034
182	535.2053332
183	533.6475078
184	531.7962422
185	530.9395955
186	528.8327181
187	526.579132
188	524.8136441
189	522.8549956
190	521.7663102
191	519.5723143
192	517.2419714
193	515.7788491
194	514.058287
195	511.9940667
196	510.2394113
197	508.9409674
198	507.6374841
199	506.0210195
200	503.5177937
201	501.6493818
202	500.1145305
203	499.1378609
204	497.9206103
205	496.7031704
206	495.3949209
207	494.0717868
208	493.0356174
209	491.9006873
210	490.8477188
211	489.5154108
212	487.7093768
213	486.5970453
214	485.1622941
215	482.8469471
216	481.8362976
217	479.8566672
218	478.5649305
219	477.5283099
220	476.4455526
221	474.9468919
222	473.4976089
223	472.7205758
224	471.5519189
225	469.4848355
226	468.1041465
227	466.6394133
228	465.2461486
229	463.3723758
230	461.9100008
231	459.5485657
232	458.8942127
233	457.5726282
234	456.1755928
235	453.6023386
236	451.042013
237	449.1547867
238	448.0755824
239	447.184297
240	446.0584854
241	445.2463466
242	443.2547698
243	442.3013798
244	440.3292029
245	438.6468965
246	437.0587642
247	435.963834
248	435.022757
249	434.188877
250	432.671994
251	431.5099863
252	430.153112
253	428.4790729
254	427.2928553
255	425.9228291
256	425.000619
257	423.9126293
258	423.4539847
259	422.8312401
260	421.9923018
261	420.4410891
262	419.0789837
263	418.3590133
264	417.0124727
265	415.5960346
266	414.6285103
267	413.7950884
268	412.6262804
269	411.4046984
270	410.4528529
271	409.1674587
272	408.8642367
273	406.8839279
274	405.6617223
275	404.4491171
276	404.2202598
277	402.903403
278	402.6828754
279	401.3593699
280	400.3103707
281	400.1063408
282	399.0174618
283	397.1058292
284	396.2341474
285	395.1467064
286	393.3092893
287	392.2535518
288	391.4445921
289	390.1209383
290	389.8687097
291	389.2271504
292	387.9521051
293	386.7475103
294	385.8463997
295	385.1918522
296	384.8650968
297	384.5041025
298	383.5057126
299	382.3320979
300	381.2110085
301	380.6763803
302	379.9667051
303	378.626215
304	378.4075176
305	377.57872
306	376.6375591
307	375.495498
308	374.6296537
309	373.4366371
310	372.3571072
311	371.5603704
312	370.2876404
313	369.2260873
314	368.1996119
315	367.5827553
316	366.8850113
317	365.2646103
318	364.2690353
319	364.1070089
320	363.5916699
321	363.0130247
322	362.7908318
323	362.2793451
324	361.1435775
325	360.3435486
326	359.4803578
327	357.7957413
328	356.6033544
329	355.9850022
330	355.0563069
331	354.5077873
332	354.3007286
333	353.7675611
334	353.0924265
335	352.1107618
336	351.2474929
337	350.7788812
338	350.6385671
339	349.3444832
340	348.48311
341	347.6675056
342	346.837084
343	346.4300266
344	345.5994208
345	345.1142904
346	344.2610255
347	343.1549777
348	341.9171477
349	340.7550599
350	340.3192715
351	340.17504
352	339.1902108
353	338.3571351
354	337.9152362
355	337.2469806
356	336.2168631
357	335.4312889
358	334.7338924
359	333.930635
360	333.3526003
361	332.7327158
362	332.1280172
363	332.0112328
364	331.2954876
365	331.1873988
366	330.6043248
367	329.7015065
368	328.9153597
369	327.7200329
370	326.9699375
371	326.7617616
372	325.8113233
373	324.9535357
374	324.2081725
375	323.1115257
376	322.5349847
377	321.7139963
378	320.8537196
379	320.5148315
380	320.0056577
381	319.480179
382	318.642295
383	318.0246156
384	317.9485621
385	317.3670352
386	317.2371505
387	317.1106136
388	316.5772864
389	316.187092
390	315.4247801
391	314.6231455
392	314.3933246
393	313.5584515
394	313.4585567
395	312.8820872
396	312.8090922
397	312.6328357
398	311.7911702
399	310.9587847
400	310.5312894
401	310.3138117
402	310.2306605
403	309.877023
404	309.1078411
405	308.7191984
406	307.8876796
407	307.20902
408	306.7963237
409	305.9800648
410	305.5999042
411	304.7469657
412	304.1375659
413	303.7159676
414	303.0446878
415	302.7165452
416	302.1579928
417	301.1546555
418	300.7476699
419	299.9704744
420	299.4123538
421	298.9253863
422	298.3412673
423	298.2630109
424	297.6274715
425	297.3327095
426	296.9172739
427	296.7433908
428	296.1003933
429	295.2726693
430	294.0944446
431	293.9289318
432	293.3641951
433	292.9921646
434	292.5865718
435	291.8104221
436	291.416187
437	290.2899985
438	289.3652084
439	288.4504468
440	288.3291442
441	287.9418812
442	287.0162639
443	286.2828701
444	285.7966516
445	285.4023556
446	285.1924493
447	284.6510137
448	284.3929716
449	283.5949033
450	283.3143695
451	282.9033171
452	282.4003541
453	281.9918407
454	281.154627
455	280.7902594
456	280.2139018
457	279.7286433
458	279.1703839
459	278.5046471
460	278.4543618
461	278.3889723
462	277.5761539
463	277.2265968
464	276.6557973
465	276.5552364
466	276.1275147
467	275.4649673
468	275.2921581
469	274.9652499
470	274.4293541
471	273.7715579
472	273.4090146
473	273.3516649
474	272.8587781
475	272.4004475
476	271.9858123
477	271.5466365
478	271.08221
479	270.8756677
480	270.8323824
481	270.5429692
482	269.7863846
483	269.1881601
484	268.80981
485	268.4273093
